stop_id,stop_name,capacity,latitude,longitude,category
U101221,忠孝東路四段248巷口,15,25.04132,121.55393,中
U101222,仁愛延吉路口(西北側),18,25.03795,121.55466,高
U101223,樂利路101巷口,13,25.02528,121.55224,高
U101224,羅斯福浦城街口,15,25.02208,121.52678,中
U101225,敦化南路一段295巷口,18,25.03551,121.54951,中
U101226,通安區民活動中心,19,25.02942,121.55294,中
U101228,仁愛大安路口(東北側),20,25.03813,121.54631,中
U103001,延平國宅,30,25.07894,121.51121,高
U103002,臺北市立圖書館大同分館,20,25.0741,121.51349,高
U103003,合昌宮,15,25.07717,121.50934,高
U103004,民族延平路口,23,25.06864,121.5107,高
U103005,重慶酒泉街口,30,25.07158,121.51368,高
U103006,樹德公園,14,25.06647,121.5165,高
U103007,陳天來故居,18,25.05601,121.50895,高
U103008,臺北孔廟,27,25.07378,121.51583,高
U103009,捷運圓山站(1號出口),44,25.07133,121.52024,高
U103010,酒泉延平路口,26,25.0722,121.51057,高
U103011,重慶國中,37,25.07567,121.51862,高
U103012,重慶北路三段383巷口,25,25.07598,121.51409,高
U103013,台北數位產業園區,24,25.07447,121.52003,高
U103019,民權延平路口(西北側),20,25.06326,121.51099,高
U103020,民權迪化街口,23,25.06327,121.50943,高
U103021,大稻埕公園,25,25.05915,121.51033,高
U103022,大龍老人住宅,14,25.06853,121.51729,中
U103023,大龍峒社會住宅,20,25.0708,121.51826,高
U103024,捷運大橋頭站(2號出口),57,25.06314,121.51308,高
U103025,捷運大橋頭站(1A出口),18,25.06325,121.51162,中
U103026,捷運民權西路站(2號出口),25,25.06174,121.51969,中
U103027,捷運雙連站(2號出口),41,25.05826,121.52063,高
U103028,捷運北門站(3號出口),62,25.04991,121.5104,高
U103029,朝陽公園,10,25.05592,121.51367,中
U103030,永樂市場,38,25.05454,121.51052,高
U103031,大龍公園,18,25.07049,121.51596,高
U103032,重慶涼州街口,13,25.06054,121.51338,中
U103033,圓山線形公園,14,25.06867,121.51993,中
U103034,圓環站,28,25.05369,121.51418,高
U103035,重慶民族路口,20,25.06853,121.51359,高
U103036,承德路三段8巷口,16,25.06407,121.51822,中
U103037,太原廣場,31,25.04925,121.51468,高
U103038,國順公園,20,25.06594,121.51078,高
